이유,"['da_20180822203521696', 'da_20180822194234625', 'da_20180822193441425', 'da_20180822193431423', 'da_20180822190304657', 'da_20180822184941403', 'da_20180822184704351', 'da_20180822184647343', 'da_20180822184101227', 'da_20180822183327023', 'da_20180822182658852', 'da_20180822182532820', 'da_20180822182213754', 'da_20180822181859683', 'da_20180822181302554', 'da_20180822181254549', 'da_20180822181200522', 'da_20180822175401969', 'da_20180822175317946', 'da_20180822174852774', 'da_20180822174500638', 'da_20180822173629345', 'da_20180822173509271', 'da_20180822173502265', 'da_20180822173359233']"
인도네시아,['da_20180822203900755']
그동안,"['da_20180822205716100', 'da_20180822204533882', 'da_20180822203600702', 'da_20180822202644522', 'da_20180822194234625', 'da_20180822193552461', 'da_20180822193423421', 'da_20180822193112352', 'da_20180822190603729', 'da_20180822185952595', 'da_20180822182100732', 'da_20180822181805672', 'da_20180822181509607', 'da_20180822181200522', 'da_20180822180712363', 'da_20180822175855084', 'da_20180822174814767', 'da_20180822174020505', 'da_20180822173907446', 'da_20180822173800401', 'da_20180822173629345']"
종합적,"['da_20180822205029959', 'da_20180822204533882', 'da_20180822202644522', 'da_20180822193552461', 'da_20180822192614230', 'da_20180822191615005', 'da_20180822185952595', 'da_20180822184657348', 'da_20180822183822163', 'da_20180822183541080', 'da_20180822181802667']"
특검,"['da_20180822201452323', 'da_20180822194212614', 'da_20180822193552461', 'da_20180822190644741', 'da_20180822190112634', 'da_20180822185952595', 'da_20180822185704550', 'da_20180822183822163', 'da_20180822183516074', 'da_20180822182100732', 'da_20180822182100731', 'da_20180822181805672', 'da_20180822181802667', 'da_20180822181112507', 'da_20180822180712363', 'da_20180822175325948', 'da_20180822174736728', 'da_20180822174200567', 'da_20180822173907446', 'da_20180822173629345', 'da_20180822173513276']"
도소,"['da_20180822185111447', 'da_20180822184729361']"
밀양,"['da_20180822211200373', 'da_20180822175213927']"
국무부,['da_20180822180158185']
영농,['da_20180822204558889']
빌미,['da_20180822173502265']
존재,"['da_20180822205029959', 'da_20180822194234625', 'da_20180822192614230', 'da_20180822191615005', 'da_20180822191604001', 'da_20180822184101227', 'da_20180822183541080', 'da_20180822181859683', 'da_20180822181200522']"
이관,"['da_20180822211607445', 'da_20180822184657348', 'da_20180822181050492', 'da_20180822180300214', 'da_20180822175352956']"
유엔,"['da_20180822211554439', 'da_20180822195615961', 'da_20180822194313640', 'da_20180822191717023', 'da_20180822184647343', 'da_20180822181254549', 'da_20180822180158185', 'da_20180822175401967', 'da_20180822175317946', 'da_20180822173903444']"
진상규명,['da_20180822183822163']
확인작업,"['da_20180822200102098', 'da_20180822192627233']"
시설공사,['da_20180822183024945']
평화존,['da_20180822200004062']
체험,"['da_20180822203835753', 'da_20180822185305479', 'da_20180822182419796', 'da_20180822174020505']"
계승,['da_20180822180158185']
자영업자,"['da_20180822205020956', 'da_20180822204248843', 'da_20180822191800034', 'da_20180822190603729', 'da_20180822184729361', 'da_20180822184704351', 'da_20180822181538615', 'da_20180822181047491', 'da_20180822175150914', 'da_20180822174500638']"
희망고문,['da_20180822175708057']
농산물,"['da_20180822193104347', 'da_20180822182419796']"
장면인,"['da_20180822193423421', 'da_20180822190304657']"
관세청,"['da_20180822211554439', 'da_20180822203232654', 'da_20180822195615961', 'da_20180822195510922']"
일반,"['da_20180822211200373', 'da_20180822203521696', 'da_20180822193431423']"
단체카,['da_20180822181538615']
지방경찰청,['da_20180822182316771']
기무,"['da_20180822205836119', 'da_20180822200602166', 'da_20180822193900536', 'da_20180822192356171', 'da_20180822192342164', 'da_20180822183516074', 'da_20180822173511273']"
재가,['da_20180822202439492']
동강,['da_20180822193104347']
항공편,"['da_20180822182316771', 'da_20180822173617339']"
국민건강보험법,['da_20180822200646181']
돈벌이,['da_20180822174513667']
통제,"['da_20180822204558889', 'da_20180822194212614', 'da_20180822192614231', 'da_20180822192442190', 'da_20180822184638340', 'da_20180822184101226', 'da_20180822182316771', 'da_20180822182213754', 'da_20180822175028837', 'da_20180822173650356', 'da_20180822173617339', 'da_20180822173502265', 'da_20180822173323221']"
사정,['da_20180822173928461']
개혁보수,['da_20180822203521696']
추상적,['da_20180822205201004']
거세지면,['da_20180822174947799']
기후,"['da_20180822181802666', 'da_20180822181115508', 'da_20180822175414987', 'da_20180822173928461']"
국가인권,['da_20180822182726867']
자기결정권,['da_20180822193810518']
고용침체,['da_20180822184729361']
관측,"['da_20180822211003333', 'da_20180822204533882', 'da_20180822202644522', 'da_20180822183516074', 'da_20180822183058958', 'da_20180822180040145']"
중령,['da_20180822205836119']
인부,"['da_20180822191604001', 'da_20180822173903444']"
전체금액,['da_20180822181302554']
작전,"['da_20180822192442190', 'da_20180822184657348', 'da_20180822173502265']"
농단,"['da_20180822182100731', 'da_20180822175325948']"
만명,"['da_20180822201928410', 'da_20180822194229621', 'da_20180822184901397', 'da_20180822180817381', 'da_20180822174303602']"
대신,"['da_20180822205201004', 'da_20180822202005415', 'da_20180822200646181', 'da_20180822200340142', 'da_20180822200046092', 'da_20180822200004062', 'da_20180822192424188', 'da_20180822191502972', 'da_20180822190311660', 'da_20180822184704351', 'da_20180822184657348', 'da_20180822184256272', 'da_20180822183459057', 'da_20180822181523612', 'da_20180822175401965', 'da_20180822175400962']"
묘향산의료기구공장,['da_20180822204059816']
주도,"['da_20180822205716100', 'da_20180822205020956', 'da_20180822204248843', 'da_20180822203223649', 'da_20180822200742195', 'da_20180822195510922', 'da_20180822195405893', 'da_20180822194229621', 'da_20180822192043091', 'da_20180822191800034', 'da_20180822191615005', 'da_20180822190902794', 'da_20180822190603729', 'da_20180822190550718', 'da_20180822185503512', 'da_20180822184941403', 'da_20180822184219268', 'da_20180822183559085', 'da_20180822183459057', 'da_20180822182100729', 'da_20180822181047491', 'da_20180822180622340', 'da_20180822180258213', 'da_20180822175602025', 'da_20180822174508666', 'da_20180822174429628']"
이름,"['da_20180822211200373', 'da_20180822211607445', 'da_20180822193900536', 'da_20180822193423421', 'da_20180822192813281', 'da_20180822190304657', 'da_20180822182100729', 'da_20180822181003437', 'da_20180822175202918', 'da_20180822175102878', 'da_20180822174941795']"
불명확,['da_20180822191803040']
마린트래픽,['da_20180822175401967']
상시,"['da_20180822210000141', 'da_20180822190304657', 'da_20180822184704351', 'da_20180822184101227', 'da_20180822181050492', 'da_20180822173617339']"
장하,"['da_20180822205716100', 'da_20180822205020956', 'da_20180822201928410', 'da_20180822200742195', 'da_20180822195405893', 'da_20180822194229621', 'da_20180822194212614', 'da_20180822192031088', 'da_20180822191800034', 'da_20180822190902794', 'da_20180822190603729', 'da_20180822185503512', 'da_20180822184901397', 'da_20180822184704351', 'da_20180822184219268', 'da_20180822183559085', 'da_20180822183152981', 'da_20180822181047491', 'da_20180822180817381', 'da_20180822180258213', 'da_20180822175602025', 'da_20180822175202918', 'da_20180822175150914', 'da_20180822174508666', 'da_20180822174429628', 'da_20180822174303602']"
통상자원중소,"['da_20180822203232654', 'da_20180822193502436']"
부원장,['da_20180822185305479']
고씨,['da_20180822200102098']
선두,['da_20180822211200373']
편중,"['da_20180822182100731', 'da_20180822175325948']"
영업점,['da_20180822192043091']
우선,"['da_20180822204558889', 'da_20180822184704351', 'da_20180822175602025', 'da_20180822174852774', 'da_20180822173609334', 'da_20180822173359233']"
레프팅,['da_20180822193104347']
국제선,['da_20180822182316771']
흠집,"['da_20180822193423421', 'da_20180822182100732', 'da_20180822181802667', 'da_20180822174947799', 'da_20180822173907446']"
관심사,"['da_20180822180040145', 'da_20180822174555681']"
전부,"['da_20180822183559085', 'da_20180822182100731', 'da_20180822182100729', 'da_20180822175414987', 'da_20180822175325948', 'da_20180822173928461']"
매개,['da_20180822175400963']
법무장관,['da_20180822175325948']
유동,"['da_20180822192614231', 'da_20180822173650356', 'da_20180822173323221']"
수원,['da_20180822182316771']
획일화,['da_20180822182100729']
경로,"['da_20180822210913310', 'da_20180822193900536', 'da_20180822193431423', 'da_20180822181538615']"
정책,"['da_20180822211200373', 'da_20180822210000141', 'da_20180822205716100', 'da_20180822205201004', 'da_20180822205020956', 'da_20180822204248843', 'da_20180822201928410', 'da_20180822200742195', 'da_20180822195405893', 'da_20180822194234625', 'da_20180822194229621', 'da_20180822193502436', 'da_20180822192031088', 'da_20180822191800034', 'da_20180822191717023', 'da_20180822191602998', 'da_20180822190902794', 'da_20180822190603729', 'da_20180822190550718', 'da_20180822185503512', 'da_20180822184901397', 'da_20180822184729361', 'da_20180822184256272', 'da_20180822184219268', 'da_20180822184142246', 'da_20180822183559085', 'da_20180822183152981', 'da_20180822182726867', 'da_20180822182532820', 'da_20180822182100729', 'da_20180822181859683', 'da_20180822181719647', 'da_20180822181538615', 'da_20180822181523612', 'da_20180822181047491', 'da_20180822180817381', 'da_20180822180622340', 'da_20180822180258213', 'da_20180822175602025', 'da_20180822175401969', 'da_20180822175401965', 'da_20180822175202918', 'da_20180822175150914', 'da_20180822175002812', 'da_20180822174947799', 'da_20180822174612695', 'da_20180822174508666', 'da_20180822174429628', 'da_20180822174303602', 'da_20180822174020505', 'da_20180822173800401', 'da_20180822173609334', 'da_20180822173509271', 'da_20180822173402235']"
지원사격,['da_20180822194229621']
전망대,['da_20180822180330231']
해고자,['da_20180822183459057']
옥스퍼드,['da_20180822184724359']
가면,"['da_20180822211607445', 'da_20180822200102098', 'da_20180822175401969', 'da_20180822173423245']"
